Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: True
Reflexiva : True, Simetrica: True, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: True
Reflexiva : True, Simetrica: True, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: True
Reflexiva : True, Simetrica: False, Transitiva: True
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: False, Transitiva: False
Reflexiva : True, Simetrica: False, Transitiva: False
Reflexiva : False, Simetrica: True, Transitiva: False
Reflexiva : True, Simetrica: True, Transitiva: False
